"Unnamed: 0","restaurant name","restaurant type","rate (out of 5)","num of ratings","avg cost (two people)","online_order","table booking","cuisines type","","area","local address"
"1065","Cafe 99 Kerala Mess","Quick Bites","3.7","52","350","Yes","No","Kerala, North Indian, Chinese","1065","Kalyan Nagar","Kalyan Nagar"
"1066","Cafe Aira","Cafe","4.1","216","500","Yes","No","Cafe, Continental, Beverages, Desserts","1066","Banashankari","Basavanagudi"
"1067","Cafe Ajfan","Cafe","4.2","261","700","Yes","No","Cafe, Continental, Beverages","1067","Banashankari","Jayanagar"
"1068","Cafe Aladdin","Cafe","3.9","74","500","No","No","Cafe, Chinese","1068","Brigade Road","St. Marks Road"
"1069","Cafe Alchemist","Quick Bites","3.8","61","300","Yes","No","Fast Food, Juices","1069","Byresandra,Tavarekere,Madiwala","BTM"
"1070","Cafe Arabica","Cafe, Bakery","3.8","69","700","No","No","Cafe, Bakery","1070","Bannerghatta Road","Bannerghatta Road"
"1071","Cafe At The Atelier","Cafe","4.2","500","800","Yes","No","Cafe, Continental, Italian, Salad","1071","Bellandur","Sarjapur Road"
"1072","Cafe Azzure","Cafe","4.2","559","1200","Yes","Yes","Cafe, Continental, Italian, Burger","1072","Kalyan Nagar","Kalyan Nagar"
"1073","Cafe Bangalore","Takeaway, Delivery","3.4","6","300","Yes","No","Fast Food","1073","Kalyan Nagar","Hennur"
"1074","Cafe Beirut","Quick Bites","3.7","41","0","No","No","Arabian","1074","Kammanahalli","Kammanahalli"
"1075","Cafe Bengaluru","Quick Bites","3.3","47","300","No","No","Fast Food, Beverages","1075","Rajajinagar","Magadi Road"
"1076","Cafe Black Pepper","Quick Bites","2.8","40","200","No","No","Fast Food","1076","Electronic City","Electronic City"
"1077","Cafe Bollywood","Quick Bites","3.4","25","200","No","No","Street Food","1077","Byresandra,Tavarekere,Madiwala","JP Nagar"
"1078","Cafe Braqa","Cafe","4","144","700","Yes","Yes","Cafe, Italian, Continental, Beverages","1078","Brigade Road","Indiranagar"
"1079","Cafe Cassia& Deli","Casual Dining, Cafe","4.2","115","1000","No","No","Lebanese, Mediterranean, Cafe","1079","Brigade Road","Ulsoor"
"1080","Cafe Centralis","Cafe","2.8","114","600","Yes","No","Cafe","1080","Malleshwaram","New BEL Road"
"1081","Cafe Cerrise","Cafe","3.8","96","600","Yes","No","Cafe, Continental, Salad","1081","Brigade Road","Ulsoor"
"1082","Cafe Chaippu","Quick Bites","2.8","40","150","No","No","Kerala, Coffee","1082","Sarjapur Road","Sarjapur Road"
"1083","Cafe China","Quick Bites","3.7","42","500","Yes","No","Chinese","1083","Kalyan Nagar","Banaswadi"
"1084","Cafe Choco Craze","Cafe","3.7","9","400","No","No","Cafe, Fast Food, Desserts","1084","Bannerghatta Road","Bannerghatta Road"
"1085","Cafe Coffee Day","Cafe","2.3","30","900","No","No","Cafe, Fast Food","1085","Brookefield","Brookefield"
"1086","Cafe Coffee Day The Lounge","Cafe","2.9","59","650","Yes","No","Cafe, Fast Food","1086","Indiranagar","Indiranagar"
"1087","Cafe Coffee Day The Square","Cafe","4.1","388","1100","No","No","Cafe","1087","Church Street","Lavelle Road"
"1088","Cafe Conico","Cafe","2.8","40","600","No","No","Cafe, Beverages","1088","Bannerghatta Road","Bannerghatta Road"
"1089","Cafe Cosy","Cafe","4.1","102","800","No","Yes","Cafe, Chinese, Continental, Fast Food","1089","Basavanagudi","Jayanagar"
"1090","Cafe Crumb'z","Cafe, Dessert Parlor","3.3","4","300","No","No","Cafe, Beverages, Fast Food","1090","Electronic City","Electronic City"
"1091","Cafe Daily Bread","Bakery, Quick Bites","3.7","128","600","No","No","Bakery, Fast Food, Italian","1091","Bellandur","Bellandur"
"1092","Cafe D'Costa","Bakery","3.8","40","200","No","No","Bakery","1092","Frazer Town","Frazer Town"
"1093","Cafe D'hide","Cafe","4.2","869","600","Yes","Yes","Cafe, American, Continental, Italian","1093","Byresandra,Tavarekere,Madiwala","Koramangala 5th Block"
"1094","Cafe Fattoush","Cafe","3.8","24","700","Yes","No","Cafe, Lebanese","1094","Byresandra,Tavarekere,Madiwala","BTM"
"1095","Cafe Get Hooked","Cafe","3.6","17","600","Yes","No","Cafe","1095","Kalyan Nagar","Banaswadi"
"1096","Cafe Graffiters","Cafe","3.8","22","600","Yes","No","Cafe, Continental, Beverages","1096","Byresandra,Tavarekere,Madiwala","Koramangala 5th Block"
"1097","Cafe Grill","Quick Bites","4.1","496","300","Yes","No","Chinese, North Indian, Rolls","1097","Indiranagar","Jeevan Bhima Nagar"
"1098","Cafe Happytizing","Cafe","4.1","351","700","Yes","No","Cafe, Sandwich, Pizza, North Indian, Mexican","1098","Electronic City","Electronic City"
"1099","Cafe HIGHRANGERS","Cafe","3.3","4","400","Yes","No","Cafe, Fast Food, Chinese","1099","Electronic City","Electronic City"
"1100","Cafe Hops","Dessert Parlor","3.7","24","300","No","No","Desserts, Bakery","1100","Bannerghatta Road","JP Nagar"
"1101","Cafe Hush","Cafe","3.6","22","500","No","No","Cafe, Fast Food","1101","Byresandra,Tavarekere,Madiwala","BTM"
"1102","Cafe Idly","Quick Bites","2.9","35","200","Yes","No","South Indian, Fast Food","1102","Indiranagar","Jeevan Bhima Nagar"
"1103","Cafe Iftar","Quick Bites","3.8","20","200","No","No","Fast Food, Street Food","1103","Frazer Town","Frazer Town"
"1104","Cafe Imroze","Cafe, Casual Dining","3.6","95","650","Yes","No","Cafe, Burger, Italian, Fast Food","1104","Brigade Road","Infantry Road"
"1105","Cafe Indiana","Quick Bites, Dessert Parlor","3.5","17","600","No","No","Fast Food, Desserts","1105","Bannerghatta Road","Bannerghatta Road"
"1106","Cafe Jezve","Cafe","3.8","18","500","No","No","Cafe","1106","Kammanahalli","Koramangala 5th Block"
"1107","Cafe Kaara","Cafe","4.2","160","750","No","No","Cafe, Salad, Desserts, Pizza","1107","Brigade Road","Ulsoor"
"1108","Cafe Kabana","Cafe","4","200","700","No","Yes","Cafe, Continental","1108","Bannerghatta Road","Bannerghatta Road"
"1109","Cafe Lassi Lab","Quick Bites, Beverage Shop","3.3","6","300","Yes","No","Fast Food, Beverages","1109","Malleshwaram","New BEL Road"
"1110","Cafe Longing","Cafe","2.8","40","200","No","No","Cafe, Fast Food","1110","Koramangala 5th Block","BTM"
"1111","Cafe Madhura","Quick Bites","3.8","59","200","Yes","No","South Indian","1111","Byresandra,Tavarekere,Madiwala","HSR"
"1112","Cafe Mamma Mia","Casual Dining, Cafe","3.7","239","600","No","No","Continental, Italian, Cafe, Beverages, Desserts","1112","Rajajinagar","Basaveshwara Nagar"
"1113","Cafe Mandala","Cafe","3.9","48","600","Yes","No","Cafe","1113","Malleshwaram","New BEL Road"
"1114","Cafe Mangii","Casual Dining","4.3","1048","1600","Yes","Yes","Italian, Continental, Pizza","1114","Brigade Road","Lavelle Road"
"1115","Cafe Max","Cafe, Casual Dining","4.2","1654","1300","No","No","Cafe, Continental, Italian, German, French, Spanish","1115","Indiranagar","Indiranagar"
"1116","Cafe Medley","Cafe","4.2","1059","800","Yes","No","Cafe, Continental, Burger","1116","Byresandra,Tavarekere,Madiwala","Koramangala 5th Block"
"1117","Cafe Mingo?s","Quick Bites","3.3","4","200","No","No","Fast Food, Beverages","1117","Frazer Town","Cunningham Road"
"1118","Cafe Mist","Cafe","3.8","186","500","Yes","No","Cafe, American, Continental, Italian","1118","Bannerghatta Road","JP Nagar"
"1119","Cafe Monarch Luxur","Casual Dining","3.8","23","800","No","No","North Indian, South Indian, Chinese, Fast Food","1119","Brigade Road","Infantry Road"
"1120","Cafe Mondo","Cafe","3.7","513","600","Yes","No","Cafe, Italian, Beverages","1120","Jayanagar","Basavanagudi"
"1121","Cafe Mozaic - Taj MG Road Bengaluru","Casual Dining, Cafe","4.1","563","2500","No","Yes","North Indian, Italian, South Indian, Continental, Cafe, Salad","1121","Brigade Road","MG Road"
"1122","Cafe Nibras","Cafe","3.4","10","400","No","No","Cafe, Continental","1122","Frazer Town","Banaswadi"
"1123","Cafe Noir","Casual Dining","3.4","4","1500","Yes","No","European, French, Salad","1123","Brookefield","Whitefield"
"1124","Cafe Nosh","Cafe","4.2","583","500","Yes","No","Cafe, Continental, Steak","1124","New BEL Road","Sahakara Nagar"
"1125","CAFE NOVA","Cafe","3.2","11","600","No","No","Cafe, Bakery","1125","Banashankari","Banashankari"
"1126","Cafe Nukkad","Quick Bites","4","89","200","Yes","No","Fast Food","1126","Kalyan Nagar","Kalyan Nagar"
"1127","Cafe of Joy","Casual Dining","3.7","51","600","No","No","Continental","1127","Brookefield","Whitefield"
"1128","Cafe Oleiva","Cafe","3.3","6","500","No","No","Cafe","1128","Indiranagar","Thippasandra"
"1129","Cafe Olive","Cafe","3.1","14","500","No","No","Cafe, Italian","1129","Brookefield","Marathahalli"
"1130","Cafe On The Way","Cafe","4","275","500","Yes","No","Cafe","1130","Koramangala 4th Block","Koramangala 3rd Block"
"1131","Cafe Orio","Cafe","4","147","400","No","No","Cafe, Fast Food","1131","Byresandra,Tavarekere,Madiwala","BTM"
"1132","Cafe P Square","Quick Bites","3.8","26","250","Yes","No","Street Food, Beverages, Fast Food","1132","Kalyan Nagar","Kalyan Nagar"
"1133","Cafe Palmyra","Casual Dining, Cafe","4.2","500","2000","No","Yes","Chinese, North Indian, Continental, Cafe","1133","Brookefield","Whitefield"
"1134","Cafe Palnad","Quick Bites","4","92","400","Yes","No","South Indian, Fast Food","1134","Electronic City","Electronic City"
"1135","Cafe Petu","Quick Bites","3.8","373","300","Yes","No","North Indian, Sandwich","1135","Brookefield","Marathahalli"
"1136","Cafe Pink Pajamas","Cafe","4.1","577","700","Yes","Yes","Cafe, Italian","1136","Kalyan Nagar","Kalyan Nagar"
"1137","Cafe Poetry","Cafe","3.7","55","400","Yes","No","Cafe, Beverages, Healthy Food","1137","Malleshwaram","New BEL Road"
"1138","Cafe Potpourri","Cafe","3.7","131","400","Yes","No","Cafe, Sandwich, North Indian, Beverages, Desserts","1138","Bannerghatta Road","JP Nagar"
"1139","Cafe Qissa","Quick Bites","3.3","5","100","No","No","Burger, Cafe, Drinks Only, Juices","1139","Kalyan Nagar","Kalyan Nagar"
"1140","Cafe Repeat","Quick Bites","2.8","40","250","No","No","North Indian, Fast Food","1140","Bellandur","Sarjapur Road"
"1141","Cafe Ritzz","Casual Dining","3.6","40","700","No","Yes","North Indian, Chinese","1141","Old Airport Road","Indiranagar"
"1142","Cafe Rossini","Casual Dining","3.9","431","700","Yes","No","Continental, Italian, Chinese","1142","Malleshwaram","New BEL Road"
"1143","Cafe Shawamek","Quick Bites","3.2","4","300","No","No","Fast Food","1143","Electronic City","Electronic City"
"1144","Cafe Shuffle","Cafe","4.2","150","600","Yes","Yes","Cafe, Italian, Continental","1144","Banashankari","Banashankari"
"1145","Cafe Soy","Takeaway, Delivery","3.8","47","250","Yes","No","Asian","1145","Indiranagar","Indiranagar"
"1146","Cafe Srinidhi","Quick Bites","3.1","91","200","No","No","South Indian, North Indian, Fast Food, Street Food","1146","Old Airport Road","Indiranagar"
"1147","Cafe Sulaimani","Quick Bites","2.8","40","300","No","No","Kerala, South Indian, Biryani","1147","Byresandra,Tavarekere,Madiwala","BTM"
"1148","Cafe Talk","Cafe, Casual Dining","3.3","14","700","No","No","Cafe, Continental, North Indian, Bakery, Desserts","1148","Bannerghatta Road","Bannerghatta Road"
"1149","Cafe Talkhouse","Quick Bites","3.8","23","0","No","No","North Indian","1149","HSR","HSR"
"1150","Cafe Terra","Cafe","2.8","40","700","Yes","No","Cafe, Continental","1150","Basavanagudi","Jayanagar"
"1151","Cafe Thulp","Cafe","3.4","54","1000","Yes","No","Cafe, Burger, Italian, Salad","1151","Brookefield","ITPL Main Road, Whitefield"
"1152","Cafe Treat - The Pride Hotel","Casual Dining","4.1","118","1000","Yes","No","Continental, Asian, Italian","1152","Church Street","Richmond Road"
"1153","Cafe Udupi Ruchi","Quick Bites","4","140","350","Yes","No","South Indian, North Indian, Street Food","1153","Rajajinagar","Vijay Nagar"
"1154","Cafe Velvette","Cafe, Dessert Parlor","3.4","11","400","No","No","Cafe, American, Italian, Continental","1154","Old Airport Road","Domlur"
"1155","Cafe Vivacity","Cafe","3.8","90","650","Yes","No","Cafe","1155","Banashankari","Banashankari"
"1156","Cafe Xtasi","Takeaway, Delivery","2.8","40","0","No","No","Pizza","1156","Electronic City","Electronic City"
"1157","Cafe Zamorin","Quick Bites","3.7","23","300","Yes","No","Chinese, Kerala","1157","Kalyan Nagar","Hennur"
"1158","Cafe Zone","Quick Bites","3.9","149","300","Yes","No","Fast Food, Chinese, Rolls","1158","Banashankari","Kumaraswamy Layout"
"1159","Cafe Zuppa","Cafe","2.8","40","450","Yes","No","Cafe, Pizza, Fast Food","1159","Bannerghatta Road","JP Nagar"
"1160","Caf-Eleven","Cafe","4","424","450","No","No","Cafe, Continental","1160","Banashankari","Banashankari"
"1161","Cafemoto","Cafe","4","201","800","Yes","No","Cafe, Continental, Italian, Burger","1161","Byresandra,Tavarekere,Madiwala","Koramangala 5th Block"
"1162","Caferia","Quick Bites","3.3","4","200","Yes","No","Fast Food, Street Food","1162","Church Street","Frazer Town"
"1163","Cafesta","Cafe","4.3","559","550","Yes","No","Cafe, Italian, Fast Food, Desserts","1163","Brookefield","Whitefield"
"1164","Cafeteria Al - Falah","Quick Bites","3.3","5","300","No","No","Fast Food, North Indian","1164","Kalyan Nagar","Banaswadi"
"1165","Cafezone","Quick Bites","3.7","27","250","Yes","No","Burger, Fast Food, Beverages","1165","Kalyan Nagar","Banaswadi"
"1166","Caffe Maven","Quick Bites","3.4","25","300","Yes","No","Chinese, North Indian","1166","Brigade Road","Residency Road"
"1167","Caffe Pascucci","Cafe","4.1","719","950","Yes","Yes","Cafe, Continental, Pizza, Italian, Beverages","1167","Byresandra,Tavarekere,Madiwala","HSR"
"1168","Cake 24x7","Bakery","3.2","10","450","Yes","No","Bakery, Desserts","1168","Brookefield","Whitefield"
"1169","Cake Art","Bakery, Quick Bites","2.9","27","400","No","No","Bakery","1169","Byresandra,Tavarekere,Madiwala","JP Nagar"
"1170","Cake Box","Bakery","2.9","24","400","Yes","No","Bakery, Desserts","1170","Bellandur","Marathahalli"
"1171","Cake Cafe","Bakery","4","157","300","Yes","No","Bakery, Desserts","1171","HSR","HSR"
"1172","Cake Chemistry","Bakery","2.8","40","500","Yes","No","Bakery, Desserts","1172","Basavanagudi","Jayanagar"
"1173","Cake Delights","Bakery","3.6","24","500","Yes","No","Bakery, Desserts","1173","Bellandur","Sarjapur Road"
"1174","Cake Dilim","Bakery","2.8","40","500","Yes","No","Bakery","1174","Indiranagar","Jeevan Bhima Nagar"
"1175","Cake Gallery","Bakery","3.6","24","300","Yes","No","Bakery","1175","Malleshwaram","Yeshwantpur"
"1176","Cake Genie","Dessert Parlor","3.9","149","300","No","No","Desserts, Fast Food","1176","Indiranagar","Indiranagar"
"1177","Cake Ghar","Bakery","3.8","15","400","Yes","No","Bakery","1177","Banashankari","Basavanagudi"
"1178","Cake House - Story Cafe","Quick Bites","3.8","79","650","No","No","Bakery, Desserts","1178","Kammanahalli","Kalyan Nagar"
"1179","Cake Inc.","Bakery","0","40","450","No","No","Bakery, Desserts","1179","Indiranagar","Domlur"
"1180","Cake Menu","Bakery","3.2","11","400","Yes","No","Bakery","1180","HSR","Bommanahalli"
"1181","Cake N Cream","Bakery","0","40","360","No","No","Bakery, Desserts","1181","Indiranagar","Jeevan Bhima Nagar"
"1182","Cake Of Day","Bakery","2.8","40","150","No","No","Bakery","1182","Basavanagudi","Basavanagudi"
"1183","Cake of the Day","Bakery","3.2","4","150","No","No","Bakery","1183","Basavanagudi","Basavanagudi"
"1184","Cake Palace","Dessert Parlor","3.4","11","100","Yes","No","Bakery","1184","Indiranagar","Indiranagar"
"1185","Cake Town Cafe","Bakery, Dessert Parlor","3.9","75","500","Yes","No","Bakery, Desserts","1185","Bellandur","Bellandur"
"1186","Cake Yard","Dessert Parlor","2.9","30","250","No","No","Desserts","1186","Byresandra,Tavarekere,Madiwala","Koramangala 7th Block"
"1187","Cakea","Delivery","2.8","40","300","No","No","Bakery","1187","Electronic City","Electronic City"
"1188","CakeBerries","Bakery","3.7","15","200","No","No","Bakery, Desserts","1188","Old Airport Road","Old Airport Road"
"1189","CakeBox","Bakery","3.5","18","400","Yes","No","Bakery, Desserts","1189","HSR","HSR"
"1190","Cakebuy","Dessert Parlor","3.9","70","350","Yes","No","Desserts","1190","Bannerghatta Road","Bannerghatta Road"
"1191","Cake-O-Mania","Takeaway, Delivery","3.4","7","300","Yes","No","Bakery, Desserts","1191","Bannerghatta Road","Bannerghatta Road"
"1192","Cakeport","Bakery","3.4","20","400","No","No","Bakery","1192","Jayanagar","Jayanagar"
"1193","Cakes & Candles","Bakery, Dessert Parlor","3.1","11","300","Yes","No","Bakery, Desserts","1193","Byresandra,Tavarekere,Madiwala","Koramangala 5th Block"
"1194","Cakes & Slices","Bakery","3.5","13","300","No","No","Bakery, Desserts","1194","Banashankari","Banashankari"
"1195","Cakes And Crumbs","Dessert Parlor","3.4","8","350","No","No","Bakery","1195","Bannerghatta Road","JP Nagar"
"1196","Cakes and Moulds","Bakery","3.6","19","300","No","No","Bakery, Desserts","1196","Koramangala 4th Block","Koramangala 1st Block"
"1197","Cakes By M","Delivery","3.4","7","500","No","No","Bakery","1197","Bannerghatta Road","Bannerghatta Road"
"1198","Cakes Wagon","Bakery","3.3","37","600","Yes","No","Bakery, Desserts","1198","Electronic City","Electronic City"
"1199","Cakes, Crumbs & Magic","Bakery","3.3","4","300","No","No","Bakery","1199","Kalyan Nagar","Kalyan Nagar"
"1200","Cakesta","Bakery","4.1","119","500","Yes","No","Bakery, Desserts","1200","Brookefield","ITPL Main Road, Whitefield"
"1201","Cakewala","Bakery","4.1","230","500","Yes","No","Bakery, Desserts","1201","Byresandra,Tavarekere,Madiwala","JP Nagar"
"1202","CakeWalk","Dessert Parlor","4.1","540","500","No","No","Desserts, Bakery","1202","Indiranagar","Indiranagar"
"1203","CakeZone","Bakery","3.2","9","500","Yes","No","Bakery, Desserts","1203","Electronic City","Electronic City"
"1204","Calcutta Cafe","Quick Bites","3.5","45","350","Yes","No","Bengali, Chinese, Sandwich","1204","Banashankari","Kumaraswamy Layout"
